"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"184",0.228253968859299,0.864322997694915,0.0462768783302233,0.0894001239748614,0.283525775737821,-9393.8890231553,2077
"185",0.23332149410705,0.866722198395015,0.0454212950482914,0.0878565065566939,0.267862482899357,-9393.83672597456,2077
"186",0.235740752917824,0.877861427036714,0.0448348589180536,0.0773037140452329,0.272417728353565,-9392.23609700425,2077
"187",0.242965768955635,0.880800497476559,0.045486296807339,0.0737132057161016,0.315208904710481,-9393.65873043175,2077
"188",0.242663338822602,0.873673797339492,0.045330643377429,0.0809955592830793,0.305096400699912,-9392.27735046971,2077
"189",0.237920792792903,0.884399441223607,0.0443533215888285,0.0712472371875643,0.314114556401459,-9395.15182279091,2077
"190",0.240279765451936,0.863752980692729,0.0481793962826277,0.0880676230246432,0.338207069373488,-9397.45979055895,2077
"191",0.235433583822759,0.874767525911941,0.0467917864246767,0.0784406876633824,0.282083377370937,-9391.36083683013,2077
"192",0.236201610926286,0.865625739610274,0.0487178458667586,0.0856564145229671,0.328980246334912,-9393.59489561062,2077
"193",0.238787037711248,0.874260886498111,0.0437308861255518,0.0820082273763376,0.283141820811483,-9391.80344103281,2077
"194",0.242506678018006,0.878686319331173,0.0465145971904079,0.0747990834784189,0.274514475313665,-9392.9475423043,2077
"195",0.230550820111034,0.860347362825668,0.0521623490167589,0.0874902881575726,0.283803577285717,-9394.55262594371,2077
"196",0.239388202259838,0.880048584473655,0.043931424701067,0.0760199908252785,0.30160620853344,-9391.98431005796,2077
"197",0.237601724488865,0.872556388469507,0.0443740049692635,0.0830696065612295,0.304961005615339,-9391.667497898,2077
"198",0.236887901668359,0.877893742131528,0.0438768976001927,0.0782293602682797,0.268027672048535,-9392.43879728212,2077
"199",0.241718344721444,0.870456909123999,0.0480019506863236,0.0815411401896771,0.300216541371541,-9392.71346908476,2077
"200",0.245176687940795,0.878300961716706,0.0414120099833157,0.0802870282999779,0.28121310371084,-9393.90493159267,2077
"201",0.236319192253296,0.87283613347788,0.046566705800803,0.0805971607213171,0.25775324330054,-9392.59076257962,2077
"202",0.229790747921813,0.87205512826344,0.0466482311209757,0.0812966406155841,0.270965579570361,-9392.60620035463,2077
"203",0.237307067573668,0.873176908729674,0.0471049815053173,0.0797181097650082,0.30794224794626,-9391.20955557803,2077
"204",0.234488194618554,0.873271089961569,0.0467957893244292,0.0799331207140017,0.299502364001516,-9390.88940783908,2077
"205",0.245111537913534,0.876276517532641,0.0465353610018711,0.0771881214654881,0.281764260651837,-9392.97433757333,2077
"206",0.227751943899134,0.869774294524129,0.045848795663684,0.084376909812187,0.32239654223191,-9392.64214590405,2077
"207",0.240177852762982,0.878837618437797,0.0431328546657538,0.0780295268964497,0.292286912654215,-9391.81771682883,2077
"208",0.226452220148905,0.868330353022605,0.0490412339235365,0.0826284130538588,0.25924812231988,-9394.7464331044,2077
"209",0.234295214018152,0.870134970561666,0.0438636646842883,0.0860013647540456,0.301755999981701,-9392.68261602309,2077
"210",0.227071014483342,0.872113927868858,0.0466543692821799,0.0812317028489622,0.306307940242325,-9392.44417905137,2077
"211",0.237698429937167,0.872705330091263,0.0467246021853298,0.0805700677234072,0.262589282948721,-9392.21815642909,2077
"212",0.234619410451745,0.87136630222559,0.0493585174737321,0.0792751803006778,0.304239647377465,-9391.89206245641,2077
"213",0.236055934422088,0.871907336055125,0.0440832740787439,0.084009389866131,0.303781672282683,-9391.90431921929,2077
"214",0.229376441135485,0.866887164322013,0.0484808571591058,0.0846319785188813,0.28212540763921,-9392.01134077707,2077
"215",0.238726399413176,0.872437810920479,0.0462806076313063,0.0812815814482147,0.296778626895814,-9391.11552462017,2077
"216",0.240658328666187,0.873011769056971,0.0449998341290519,0.0819883968139771,0.258626320160829,-9393.02602523672,2077
"217",0.243794430041846,0.877649516357812,0.0436898050687898,0.078660678573398,0.242452829508822,-9394.94474240767,2077
"218",0.229362571380262,0.872212477282394,0.0473599337553085,0.080427588962297,0.323027764690583,-9392.18433893226,2077
"219",0.225775757118221,0.86148607664975,0.0490411010990851,0.0894728222511652,0.261864142812281,-9395.64681192739,2077
"220",0.243556857420143,0.875752887318258,0.0446742104655446,0.0795729022161972,0.287016892472132,-9392.04522986145,2077
"221",0.230979149625022,0.87410385459948,0.0466646163424872,0.0792315290580326,0.30198547495782,-9391.60920397362,2077
"222",0.232589742436428,0.874994255355445,0.0448057185766525,0.0802000260679024,0.308796657170726,-9391.61819953202,2077
"223",0.232839157196768,0.872951617638332,0.0450112490941532,0.0820371332675148,0.280358217116261,-9391.68115953103,2077
"224",0.238330356320658,0.871033081746434,0.0451638988176678,0.0838030194358981,0.312457509584741,-9392.04934364935,2077
"225",0.23204232085096,0.864840075899983,0.0472496071832964,0.0879103169167205,0.296883098049502,-9392.33760986811,2077
"226",0.239534451886348,0.877091726909176,0.0431328572224421,0.0797754158683823,0.324695647269846,-9393.00612342176,2077
